district_name,district_code,Subject,number_p_or_a,percent_p_or_a,number_advanced,percent_advanced,number_proficient,percent_proficient,number_ni,percent_ni,number_failing,percent_failure,total_students,year
Whitman-Hanson,7800000,Biology,155,70,46,21,109,49,53,24,15,7,223,Post Shutdowns
Whittier Regional Vocational Technical,8850000,Biology,246,74,57,17,189,57,76,23,9,3,331,Post Shutdowns
Wilmington,3420000,Biology,77,86,31,34,46,51,8,9,5,6,90,Post Shutdowns
Wilmington,3420000,Physics,43,53,10,12,33,41,21,26,17,21,81,Post Shutdowns
Winchendon,3430000,Biology,26,41,3,5,23,36,33,52,5,8,64,Post Shutdowns
Winchester,3440000,Biology,308,92,186,56,122,36,20,6,7,2,335,Post Shutdowns
Winthrop,3460000,Biology,80,60,19,14,61,46,35,26,18,14,133,Post Shutdowns
Woburn,3470000,Biology,62,97,40,63,22,34,0,0,2,3,64,Post Shutdowns
Worcester,3480000,Biology,572,42,123,9,449,33,429,32,350,26,1351,Post Shutdowns
Worcester,3480000,Physics,6,9,0,0,6,9,26,40,33,51,65,Post Shutdowns
State Totals,0,Biology,24274,67,8667,24,15607,43,7979,22,4186,11,36440,Post Shutdowns
State Totals,0,Chemistry,7,23,0,0,7,23,4,13,20,65,31,Post Shutdowns
State Totals,0,Physics,7194,62,2692,23,4502,39,2793,24,1581,14,11577,Post Shutdowns
State Totals,0,Technology/Engineering,123,30,2,0,121,30,157,38,130,32,410,Post Shutdowns
